0
電柱にぶら下がったままの初恋は痺れをきかして睨んでる「そんなもんか？」と牙をむいて言うのさあれは幻か？夜になればベランダから聞こえてくる過ちとかそんなのを混ぜた後悔を歌にしたような呪文が初恋が泣いている思ってるよりも近くで初恋が空を濡らすもしもこの夜があの子を奪うならそれもいいかもな小さい頃からのママの言いつけは今更だけれど響くよ「そんなものよ」と紅を引いて言うのさあれは本当なのか？いつになればベランダから聞こえてくる夢の中で悪魔が唱えた変な呪文が消えるのだろうか初恋が泣いている思いもよらない別れの記憶から抜け出せずに引きずりすぎた心がほらこうして破れてく「愛してる？」「愛してる」「愛してる？」「愛してる」初恋が泣いている思ってるよりも近くで初恋が泣いている思ってるよりももっと近くで初恋が空を濡らすもしもこの世からあの子が消えるならそれもいいかもな忘れられるならそれもいいかもな
サヨナラが近づいているその意味に悩まされる八の字に曲がった君の眉が懐かしい思い出すよ出会いの記念日荒れた頬にあたたかいキスをくれたね泣きベソの顔ひどく汚れて一緒に笑ったよねもう覚えている全部が青になるあの日よりも少し遠くで今伝えたいことが君も大人になったら恋をするんだよ運命の人に出会うまでは傷が絶えないかもだけど悲しみなんかは気づけば雨になる心耕し花が咲くまで可愛く揺れなよ双葉約束の春が訪れてあたたかい空気をこぼしてまるで君との会話みたいで幸せ、って今思ったよずっと忘れないで胸の中に落ちて誰も知らないところでいつかまた瞳を覗かせて君が大人になったら見つけるその夢を限りなく側で見ていたくてももう叶わないらしいからさ喜び全部を空に巻き散らして目には見えない愛を降らせて伝えて欲しいよ双葉涙の謎を教えてもう一度会いたいけれど君の夢の中へ遊びに行くからね心の傷も酷い言葉も受け止めてあげるぞ君も大人になったら恋をするんだよ運命の人に出会うまでは傷が絶えないかもだけど悲しみなんかは気づけば雨になる心耕し花が咲くまで可愛く揺れなよ双葉
初めてそうなった時の事を思い出して死にそうになってる薄っぺらかったよ全部すぐに破けてしまうくらいの薄さで繋がってた朝方乾いたファンデと口紅で更に抱き合った死ぬほど愛してる分厚い心でキスしてるそれくらいの覚悟がないとまた泣くことになるからねそれでもやっぱり苦しい苦しい貴方という海に溺れている泳いでももがいても進まない距離も関係も初めてブチギレた時の事を今更掘り返して死にそうになってる腹が立ってたのは事実それに悔しくてたまらなかった都合よく使われてそれからやっぱり悲しい悲しい貴方という森で彷徨って歩いても歳取っても進まないこの物語は諦めがつくような出会いがあれば私もすぐに乗り換えるかもしれないよ？こうして大嘘ばかりをついては何度も貴方を追いかけたわ叫んでも転んじゃってもおかまいなしに離れてくああやっぱり苦しい苦しい貴方という海に溺れている泳いでももがいても進まない距離も関係も
伝えることが難しいこと近くにいればいるほどなんだか胸が痛い眠たい夜に眠れないこと予測できない帰りを待ってる私がいるひとつになる度、期待すること近くにいればいつかは待ってる？柔い時間見過ぎた理想と笑われたこと私の隅で小さく高鳴ってる未来が泣くさようならは嫌わがままかしら？ただ貴方の、貴方の心を奪えたら...寒さに負けないようなぬくもりで貴方のことを温めてあげられる自信のある恋ばかりじゃないけれど私のこの眼に嘘がないこと解って欲しいきっとこれは恋の始まり伝えれば済むと分かってること「遠くに行かないでよ」って少し、胸が言いたい寝つけない夜に暴れ出す鼓動私の中溢れ出す愛情で締め付けたいずっと笑っているのも起きてすぐ描くアイラインもただ貴方に、貴方に認めて欲しいから誰にも負けないようなぬくもりで貴方のことを抱きしめてあげられる自慢できるほどの恋はしたことがないけど私は貴方をたまに怒らせたりして優柔不断に泣いて貴方を困らせる天才だねでも、ふたり結ばれてから始まる恋もあるよ？だから今日も貴方を想ってる寒さに負けないようなぬくもりで貴方のこと温めてあげられる自信のある恋ばかりじゃないけれど私のこの眼に嘘がないこと解って欲しいきっとこれは恋の始まりきっとこれが恋の始まり
ミニスカートとハイライトイカした彼女のボーイフレンドが俺だったらいいのに俺だったらいいのになショートカットに赤い紅目が離せない彼女のボーイフレンドが俺だったらいいのに俺だったらいいのになはやくはやく彼女のあの唇に触れたいのだけれどいつもいつも邪魔をするあいつは誰だ？ミニスカートとハイライトイカした彼女のボーイフレンドが俺だったらいいのに俺だったらいいのにな電気ショックをうけたのさミステリアスな彼女のボーイフレンドは俺なんかじゃないらしい俺なんかではないらしい朝も夜も彼女の夢を見て抱きしめているのだけれどいつもいつも邪魔をするあいつの正体は？俺よりも先に彼女のあの魅力に気付いた奴良い趣味してる仲良くなれそうだいまは無理だけれどミニスカートとハイライトイカした彼女のボーイフレンドが俺だったらいいのに俺だったらいいのにな
いざ、手のなる方へと導いたのは誰でもない自分自身なのに自信がないよ笑っちゃうなもたついている空気が抜けたままの身体走れど走れど続く人生という名の死ぬまでのエピソードは軽いままの身体では吹き飛ばされてすぐに終わってしまうなあー、誰にもないものを持っていたいのになぁ無理矢理に抱きしめてた心を今解いて優しい心を持ちたいのだけれど時にはがむしゃらに怒って涙は真に受け止める愛を知るまでは死ねない私なのだ！導かれた運命辿って今日も明日も生きて行こう目の前に見えた星は幾千年の輝きを失いそう夢で終わる夢ならば見なくていいと自分に言い聞かせたあー、まだ咲ききれない花のような毎日だなぁ無茶苦茶に走り続けた身体を今休めて交わることのない誰かと巡り合い無限に広がる雲に乗って見たことのない虹を見たい愛を知るまでは死ねない私なのだ！導かれる運命頼って今日も明日も生きて行こうあー、誰にもないものを持っていたいのになぁ無理矢理に抱きしめてた心を今解いて優しい心を持ちたいのだけれど時にはがむしゃらに怒って涙は真に受け止める愛を知るまでは死ねない私なのだ！導かれた運命辿って今日も明日も生きて行こう
僕らは最強なんだぜさあ、進もうよ姫大興奮を最小限に落ち着かせ何でもないフリをしてそのカードを手に取れ僕らが望んでいた景色全部は今日という日の為にあったのだ！大名様もビリケンさんも味方に付け何ちゃってヒーロー気分でその角を曲がれ僕らの持つ羅針盤を頼りに今日という日も乗り越えて行くのだ！前方100メートル先に小さな石ころが落ちています大切な君を守るため最後まで援護させてください愛も闇も仕事も君も全部この背中で戦ってみせるよ限られた時で出会った人そうさ君がいれば僕らは最強なんだぜさあ、進もうよ姫だんだん顔が曇ってく君を抱きしめたい何でもないフリしてるけどやっぱり怖いんでしょ？君が恐れている未来なんかは今日限りでサヨナラしてあげる後方50メートル先に君を追いかけてきた人がいます渡すものか！僕の好きな人最後までこの手離さないよ嘘も悪も涙も君も全部この両手で鎮めてあげるよ無限大の明日があるだろうそして君といれば僕は強くなれるんだぜさあ、いざ行こうよ姫目の前に2人を引き裂く敵が現れたとしても僕らの持つ愛の経験値には誰もが勝てないよ進もう愛も闇も仕事も君も全部この背中で戦ってみせるよ限られた時で出会った人そうさ君がいれば僕らは最強なんだぜさあ、進もうよ姫大興奮で最高潮に幸せです「愛してる」願いを込めてこのベールをめくる
「4月の夜はまだ少し肌寒いね」そう語り合う微妙な距離の2人どこかで聞いた噂話に悩まされて危険な道ほど進みたくなる私だけど声に乗せたい気持ちが冷たい風に流されざわつく川沿いをなぞり歩く桜が降る夜は貴方に会いたい、と思いますどうして？と聞かれても分からないのが恋でこの体ごと貴方に恋してるそれだけは分かるのです4月の夜に2人はもう会えないかな遠くに見える貴方はまるで知らない誰か真面目な顔は好きだけど今は見たくない新しい色に染まるのは桜だけでいいだけどいつかは散ってしまうといい加減に気づきますでも貴方の心に雨は降らないで？寂しい夜を1人桜の花がヒラリ、踊ってる私の味方をしてよ心から思うこと今伝えるべきなのか考えている間に春は終わる桜が降る夜は貴方に会いたい、と思いますどうして？と聞かれても分からないのが恋でこの体ごと貴方に恋してるそれだけは分かるのです
少し寂しそうな君にこんな歌を聴かせよう手を叩く合図雑なサプライズ僕なりの精一杯埃まみれドーナツ盤にはあの日の夢が踊る真面目に針を落とす息を止めすぎたぜさあ腰を下ろしてよフツフツと鳴り出す青春の音乾いたメロディーで踊ろうよ君はロックなんか聴かないと思いながら少しでも僕に近づいて欲しくてロックなんか聴かないと思うけれども僕はこんな歌であんな歌で恋を乗り越えてきた僕の心臓のBPMは190になったぞ君は気づくのかい？なぜ今笑うんだい？嘘みたいに泳ぐ目ダラダラと流れる青春の音乾いたメロディは止まないぜ君はロックなんか聴かないと思いながらあと少し僕に近づいて欲しくてロックなんか聴かないと思うけれども僕はこんな歌であんな歌で恋に焦がれてきたんだ君がロックなんか聴かないこと知ってるけど恋人のように寄り添って欲しくてロックなんか聴かないと思うけれども僕はこんな歌であんな歌でまた胸が痛いんだ君はロックなんか聴かないと思いながら少しでも僕に近づいて欲しくてロックなんか聴かないと思うけれども僕はこんな歌であんな歌で恋を乗り越えてきた
さりげない君のサインにも気付けない僕は尖った台詞で君を斬りつけたりしているんだそれでも君の世界とは離れがたい僕は矛盾と理屈で君を締め付けている悲壮感や憂鬱も君の身体の中へ押し込んでしまう僕だよ情が湧いて捨てられないなら最後まで君はスーパーガール未だ僕の心や眼を狂わせてスーパーガール今や僕を支配しているんだぜ知らなかったろ誰もが理解できないと笑うよ僕の曲がった思想や彼女の姿勢もだけども僕も幸せとは言い難い慣れてしまった系譜で日々を過ごしているんだ罪悪感や重圧も2人の汗で流して潰してしまうから見えない都合よくて笑えちゃうのは最初から君はスーパーガール未だ僕の身体や指先誘導してスーパーガール今は僕の上で踊っている知りすぎちゃったなぁきっと君からは永遠に忘れられずに寄り添って意味のないないない愛もないないないだけど最後まで君はスーパーガール未だ僕の心や眼を狂わせてスーパーガール今や僕を支配しているんだぜ知らなかったろ
